X1,X2,Y
43,19,1
7,92,1
88,38,0
41,96,0
85,59,0
8,65,1
38,18,1
9,62,1
42,92,0
56,98,0
54,27,1
43,86,0
3,90,1
80,3,1
51,44,1
3,39,1
58,22,1
66,1,1
60,13,1
71,23,1
42,41,1
59,23,1
98,6,0
63,88,0
16,96,0
83,6,1
90,80,0
22,69,1
13,2,1
58,34,1
41,7,1
53,67,0
1,25,1
32,30,1
44,17,1
98,16,0
72,11,1
54,56,0
52,66,0
12,15,1
2,51,1
24,46,1
10,66,1
11,15,1
39,49,1
10,67,1
34,86,0
40,21,1
51,80,0
27,39,1
33,86,0
97,73,0
95,95,0
35,97,0
24,94,0
25,84,0
60,70,0
13,57,1
5,44,1
91,9,0
64,89,0
25,58,1
46,4,1
31,23,1
26,2,1
52,2,1
14,45,1
87,29,0
71,17,1
1,34,1
17,40,1
70,87,0
78,12,1
47,31,1
70,94,0
96,91,0
28,27,1
62,91,0
9,20,1
73,95,0
69,43,0
59,70,0
42,76,0
73,44,0
80,81,0
39,29,1
35,52,1
99,8,0
74,57,0
47,29,1
46,25,1
94,52,0
13,99,0
8,58,1
91,55,0
24,50,1
43,50,1
13,45,1
12,18,1
89,58,0
