X1,X2,Y
77,70,0
37,91,1
49,65,1
75,20,0
66,53,0
32,82,1
70,9,0
75,50,0
59,61,0
93,57,0
64,96,0
41,89,1
24,17,1
73,11,0
34,62,1
89,21,0
51,82,0
14,41,1
97,8,0
27,83,1
8,64,1
17,48,1
95,33,0
16,94,1
87,9,0
74,86,0
6,53,1
61,42,0
69,55,0
72,74,0
64,14,0
90,6,0
55,65,0
69,41,0
55,96,0
87,7,0
36,51,1
6,65,1
47,94,1
91,1,0
60,53,0
48,22,1
35,58,1
28,66,1
11,36,1
21,39,1
10,23,1
48,57,1
22,37,1
11,93,1
29,11,1
40,10,1
1,90,1
88,4,0
59,0,0
62,81,0
82,74,0
61,42,0
68,80,0
3,22,1
85,11,0
82,13,0
3,32,1
58,87,0
82,86,0
75,29,0
13,56,1
100,1,0
6,25,1
84,16,0
19,53,1
9,99,1
46,57,1
21,96,1
18,75,1
73,58,0
63,98,0
84,53,0
95,9,0
61,57,0
92,67,0
55,64,0
55,68,0
52,88,0
75,67,0
71,63,0
21,81,1
60,48,0
66,46,0
0,95,1
68,17,0
31,19,1
68,49,0
44,60,1
19,93,1
25,34,1
34,11,1
19,27,1
40,86,1
61,51,0
