X1,X2,Y
55,91,0
50,79,0
99,11,0
49,2,1
0,19,1
27,61,1
2,17,1
54,68,0
37,42,1
75,100,0
89,90,0
94,38,0
64,82,0
52,14,0
87,82,0
70,46,0
60,76,0
68,82,0
98,72,0
41,58,1
95,59,0
13,68,1
34,90,1
53,25,0
43,77,1
98,16,0
5,15,1
12,78,1
79,20,0
18,77,1
25,82,1
19,46,1
18,85,1
71,0,0
68,74,0
17,22,1
47,81,1
38,90,1
86,8,0
64,15,0
97,56,0
81,63,0
53,25,0
36,34,1
79,76,0
99,45,0
22,17,1
63,61,0
41,50,1
91,99,0
85,92,0
67,96,0
15,56,1
67,76,0
45,55,1
60,89,0
40,94,1
59,84,0
83,17,0
90,51,0
31,28,1
88,64,0
69,18,0
41,62,1
45,29,1
73,82,0
94,31,0
91,81,0
18,91,1
82,40,0
66,38,0
32,32,1
94,17,0
24,62,1
45,99,1
42,95,1
53,81,0
77,28,0
4,58,1
52,87,0
98,26,0
62,55,0
75,4,0
22,16,1
72,26,0
37,65,1
93,21,0
80,62,0
95,44,0
57,36,0
11,1,1
46,7,1
13,97,1
99,38,0
47,54,1
68,67,0
25,14,1
61,45,0
13,75,1
15,56,1
